Label,Flow Duration,Total Fwd Packets,Flow Bytes/s,SYN Flag Count,anomaly_score_norm
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
DoS Slowhttptest,1,1,1980000000.0,1,1.0
BENIGN,119999933,203943,4872786.812,1,0.9958071231644688
BENIGN,119998607,200332,4898751.816,1,0.9958071231644688
BENIGN,56306996,161754,11200000.0,0,0.9956345860437493
BENIGN,119999979,198590,4869847.011,0,0.995366577331087
BENIGN,119843186,180892,4314097.883,0,0.9899144365205883
BENIGN,1,2,2070000000.0,1,0.9874718873497267
BENIGN,1,2,2070000000.0,1,0.9874718873497267
BENIGN,1,2,2070000000.0,1,0.9874718873497267
BENIGN,1,2,2070000000.0,1,0.9874718873497267
BENIGN,1,2,2070000000.0,1,0.9874718873497267
BENIGN,1,2,2070000000.0,1,0.9874718873497267
BENIGN,119999970,198223,4854079.897,0,0.9830094997119965
BENIGN,119959890,202456,4957207.447,0,0.9830094997119965
BENIGN,119999776,199565,4880732.327,0,0.9830094997119965
BENIGN,119999955,159079,3788680.621,0,0.9793979515129819
BENIGN,119998844,166861,3967128.767,0,0.9793979515129819
BENIGN,41749140,112141,9581505.751,0,0.969097514510933
BENIGN,105594413,1137,31063.44272,1,0.9650096767307844
BENIGN,106741658,497,14454.87197,1,0.9549501670535984
BENIGN,6267239,14683,8374448.94,0,0.9524901727607765
BENIGN,95131152,121885,3650781.134,0,0.945938696802364
BENIGN,119698473,284,7815.262606,1,0.9447613588514568
BENIGN,116945326,4271,93040.91384,0,0.9396526511096769
BENIGN,117655922,416,23318.35027,0,0.9375834746024224
BENIGN,119435825,228,6521.041739,1,0.937113431107152
BENIGN,116562672,3436,84331.35438,0,0.9350622452538371
BENIGN,118561373,199,5506.532047,1,0.933594946383776
BENIGN,117138033,3674,91400.96283,0,0.9334123069285835
BENIGN,117107216,3356,91340.51142,0,0.9328266485997084
BENIGN,3082912,6930,6974768.012,0,0.929933837656625
