ip,request_count,unique_urls,error_rate,avg_size,post_ratio,unique_url_ratio
10.0.0.99,150,1,1.0,210.0,1.0,0.006666666666666667
172.16.5.200,50,1,0.0,4500.0,0.0,0.02
185.220.101.45,100,8,1.0,180.0,0.0,0.08
192.168.1.1,100,6,0.0,3994.81,0.5,0.06
192.168.1.10,82,6,0.0,4571.134146341464,0.524390243902439,0.07317073170731707
192.168.1.11,91,6,0.0,3777.4175824175823,0.5054945054945055,0.06593406593406594
192.168.1.12,95,6,0.0,4230.336842105263,0.4842105263157895,0.06315789473684211
192.168.1.13,110,6,0.0,4536.590909090909,0.5545454545454546,0.05454545454545454
192.168.1.14,88,6,0.0,4151.011363636364,0.5340909090909091,0.06818181818181818
192.168.1.15,101,6,0.0,4199.950495049505,0.504950495049505,0.0594059405940594
192.168.1.16,87,6,0.0,4535.597701149425,0.5057471264367817,0.06896551724137931
192.168.1.17,82,6,0.0,3944.4024390243903,0.45121951219512196,0.07317073170731707
192.168.1.18,76,6,0.0,3991.565789473684,0.5131578947368421,0.07894736842105263
192.168.1.19,88,6,0.0,4059.4204545454545,0.4659090909090909,0.06818181818181818
192.168.1.2,104,6,0.0,4379.740384615385,0.5096153846153846,0.057692307692307696
192.168.1.20,90,6,0.0,4352.011111111111,0.4777777777777778,0.06666666666666667
192.168.1.21,96,6,0.0,3979.7083333333335,0.4791666666666667,0.0625
192.168.1.22,100,6,0.0,4394.9,0.5,0.06
192.168.1.23,108,6,0.0,4178.842592592592,0.5277777777777778,0.05555555555555555
192.168.1.24,118,6,0.0,4362.813559322034,0.4830508474576271,0.05084745762711865
192.168.1.25,99,6,0.0,4276.050505050505,0.5353535353535354,0.06060606060606061
192.168.1.26,107,6,0.0,4071.0186915887853,0.5700934579439252,0.056074766355140186
192.168.1.27,103,6,0.0,4198.398058252427,0.4368932038834951,0.05825242718446602
192.168.1.28,103,6,0.0,4077.359223300971,0.6116504854368932,0.05825242718446602
192.168.1.29,99,6,0.0,4361.515151515152,0.47474747474747475,0.06060606060606061
192.168.1.3,105,6,0.0,3944.3714285714286,0.4666666666666667,0.05714285714285714
192.168.1.30,92,6,0.0,4132.847826086957,0.5217391304347826,0.06521739130434782
192.168.1.31,114,6,0.0,4415.122807017544,0.5526315789473685,0.05263157894736842
192.168.1.32,93,6,0.0,4353.94623655914,0.5268817204301075,0.06451612903225806
192.168.1.33,107,6,0.0,4146.551401869159,0.514018691588785,0.056074766355140186
192.168.1.34,104,6,0.0,4407.2307692307695,0.4326923076923077,0.057692307692307696
192.168.1.35,82,6,0.0,4142.134146341464,0.4146341463414634,0.07317073170731707
192.168.1.36,106,6,0.0,4174.915094339623,0.49056603773584906,0.05660377358490566
192.168.1.37,99,6,0.0,4075.838383838384,0.494949494949495,0.06060606060606061
192.168.1.38,97,6,0.0,4285.278350515464,0.4020618556701031,0.061855670103092786
192.168.1.39,96,6,0.0,4172.3125,0.53125,0.0625
192.168.1.4,105,6,0.0,4222.333333333333,0.3904761904761905,0.05714285714285714
192.168.1.40,98,6,0.0,4199.7040816326535,0.5102040816326531,0.061224489795918366
192.168.1.41,104,6,0.0,4273.5,0.4230769230769231,0.057692307692307696
192.168.1.42,113,6,0.0,4556.41592920354,0.5575221238938053,0.05309734513274336
192.168.1.43,103,6,0.0,4405.330097087379,0.5048543689320388,0.05825242718446602
192.168.1.44,103,6,0.0,4196.9514563106795,0.5242718446601942,0.05825242718446602
192.168.1.45,105,6,0.0,4420.838095238095,0.4666666666666667,0.05714285714285714
192.168.1.46,99,6,0.0,4160.10101010101,0.5252525252525253,0.06060606060606061
192.168.1.47,112,6,0.0,4152.651785714285,0.4375,0.05357142857142857
192.168.1.48,81,6,0.0,4153.444444444444,0.4444444444444444,0.07407407407407407
192.168.1.49,102,6,0.0,4195.117647058823,0.4019607843137255,0.058823529411764705
192.168.1.5,109,6,0.0,3876.3853211009173,0.6055045871559633,0.05504587155963303
192.168.1.50,104,6,0.0,4274.8942307692305,0.5384615384615384,0.057692307692307696
192.168.1.6,100,6,0.0,3801.69,0.53,0.06
192.168.1.7,110,6,0.0,4397.736363636363,0.4909090909090909,0.05454545454545454
192.168.1.8,99,6,0.0,3969.4747474747473,0.5151515151515151,0.06060606060606061
192.168.1.9,131,6,0.0,4161.045801526718,0.5038167938931297,0.04580152671755725
