,Q1,Q3,IQR
url_length,27.0,35.0,8.0
has_ip_address,0.0,1.0,1.0
dot_count,2.0,4.0,2.0
https_flag,0.0,1.0,1.0
url_entropy,3.770942422,4.100816879,0.32987445699999984
token_count,5.0,8.0,3.0
subdomain_count,1.0,2.0,1.0
query_param_count,1.0,1.0,0.0
tld_length,3.0,8.0,5.0
path_length,0.0,7.0,7.0
has_hyphen_in_domain,0.0,0.0,0.0
number_of_digits,0.0,15.0,15.0
tld_popularity,0.0,1.0,1.0
suspicious_file_extension,0.0,0.0,0.0
domain_name_length,2.0,10.0,8.0
percentage_numeric_chars,0.0,47.05882353,47.05882353
